steps,guidance,clip_score,aesthetic_score,aes_v2_score,hps_v2_score,elapsed_ms,seed
6,4.43,0.27599024772644043,5.152068138122559,5.534963607788086,0.1754150390625,333,2052330099
6,4.45,0.2889605164527893,5.036204814910889,5.3608222007751465,0.1474609375,338,820700587
6,5,0.3155461847782135,5.350964069366455,5.297523021697998,0.1845703125,283,1639352972
6,5.08,0.2467016577720642,3.676276206970215,4.1583027839660645,0.1280517578125,338,1956499719
6,5.13,0.3060302734375,5.693392753601074,6.129316329956055,0.173583984375,278,965516695
6,5.4,0.2834721803665161,4.57073974609375,4.644214630126953,0.15576171875,338,1621935960
6,5.57,0.29904448986053467,4.998345851898193,5.291042804718018,0.1881103515625,325,1000884982
6,5.67,0.24094346165657043,4.046070098876953,4.152096271514893,0.1365966796875,318,598740566
6,5.74,0.3016350567340851,5.642243385314941,5.991637229919434,0.1685791015625,288,469382018
6,6.06,0.3122950792312622,5.32588005065918,5.625606536865234,0.173095703125,324,602943388
6,6.31,0.24160581827163696,5.30722188949585,5.337339401245117,0.1602783203125,279,393134056
6,6.48,0.30096134543418884,5.251821041107178,5.949038505554199,0.1339111328125,277,64008003
6,6.9,0.3079495131969452,4.562462329864502,4.706519603729248,0.123779296875,312,1893222166
6,7.09,0.3395102620124817,4.988670825958252,5.176058769226074,0.1695556640625,324,1283721817
6,7.15,0.31168365478515625,5.6841139793396,6.013505935668945,0.1778564453125,339,1554149572
6,7.29,0.26864761114120483,5.862106800079346,6.220907211303711,0.1746826171875,281,730158341
6,7.47,0.27702265977859497,5.633375644683838,5.764413833618164,0.1851806640625,281,213670574
6,7.5,0.2919504642486572,5.589426517486572,5.650021553039551,0.1756591796875,324,114471469
6,8.96,0.25652992725372314,4.896420478820801,5.211795806884766,0.2105712890625,321,174170088
6,9.01,0.32209834456443787,4.374581813812256,4.599937915802002,0.1484375,299,2089448683
6,9.13,0.23585021495819092,4.446298599243164,4.237258434295654,0.1636962890625,308,450363656
6,9.21,0.29022055864334106,4.605078220367432,4.3646955490112305,0.1314697265625,281,1531353001
6,9.31,0.27119705080986023,5.872808456420898,6.169212341308594,0.19140625,316,2030010900
6,9.36,0.30553463101387024,5.339003086090088,5.039023399353027,0.170166015625,318,227695265
6,9.43,0.25696367025375366,5.511310577392578,5.54695987701416,0.1683349609375,335,1747521639
6,9.61,0.30354201793670654,5.505654335021973,5.709649085998535,0.1917724609375,312,146400184
6,9.73,0.2578408420085907,5.42525577545166,5.26229190826416,0.168212890625,315,2114189187
6,9.75,0.283545583486557,5.002389907836914,5.388373374938965,0.1455078125,322,895690527
6,10.17,0.19595463573932648,3.235085964202881,3.244537353515625,0.139404296875,335,1890494205
6,11.43,0.22529052197933197,4.924251079559326,5.1981730461120605,0.16748046875,281,573974568
6,11.97,0.2578001916408539,5.693699359893799,5.810518264770508,0.2044677734375,317,124298250
7,1.01,0.27245211601257324,4.902724742889404,5.038753509521484,0.169189453125,320,173890708
7,1.12,0.2769448161125183,5.499126434326172,5.9983906745910645,0.118896484375,320,250230253
7,1.42,0.228106290102005,4.5681867599487305,4.583837032318115,0.1549072265625,317,1931866153
7,1.55,0.3003932237625122,6.388785362243652,6.316213607788086,0.137939453125,387,1349112474
7,1.75,0.26002323627471924,6.211276531219482,6.185945510864258,0.16259765625,359,636844936
7,2.1,0.22165681421756744,5.193877220153809,4.829007148742676,0.1553955078125,322,1172923080
7,3.32,0.32130786776542664,5.59919548034668,6.2267746925354,0.197509765625,377,1397016316
7,3.7,0.28686991333961487,5.195455551147461,5.461787223815918,0.1689453125,316,958236545
7,4.19,0.3138599395751953,6.360437393188477,6.487404823303223,0.1507568359375,385,918034554
7,4.75,0.30619946122169495,6.01310920715332,6.146841049194336,0.1551513671875,339,505406716
7,4.93,0.27812647819519043,5.143036842346191,5.132828235626221,0.1568603515625,340,820657287
